label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
e,x,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,y,v,l
p,k,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,f,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l
p,k,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
e,x,y,c,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p
e,k,s,g,f,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g
e,x,f,g,f,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,s,g
p,k,y,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
e,x,s,n,f,a,c,b,o,e,?,s,s,o,o,p,n,o,p,o,c,l
p,k,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,b,y,y,f,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l
p,x,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
e,b,s,g,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
p,k,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
e,k,f,g,f,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,s,g
p,k,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
e,f,s,n,f,a,c,b,o,e,?,s,s,o,o,p,n,o,p,n,c,l
e,x,y,p,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p
p,k,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
e,b,s,w,f,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g
p,f,s,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
e,x,f,w,f,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,s,g
p,k,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
e,f,y,n,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p
p,k,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,f,y,e,f,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
p,x,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,k,y,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
e,x,f,w,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,s,g
p,k,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
e,k,f,w,f,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
p,k,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,k,s,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,k,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
e,b,s,n,f,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d
p,f,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
e,x,s,n,f,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d
p,k,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
e,k,f,w,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,s,g
p,f,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
e,b,s,n,f,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,p
p,k,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
e,b,s,n,f,a,c,b,n,e,?,s,s,o,o,p,n,o,p,n,c,l
e,k,s,g,f,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g
p,f,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
e,k,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,o,c,l
p,k,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
e,k,f,w,f,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,s,g
e,k,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,o,v,l
p,k,y,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
e,x,s,w,f,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,s,g
e,k,s,w,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
e,k,s,w,f,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,s,g
p,k,s,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,k,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
e,b,s,w,f,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
p,f,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
e,k,s,g,f,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,s,g
e,x,s,w,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,n,g
p,f,y,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
e,x,f,w,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,s,g
e,k,f,w,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
p,f,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
e,f,s,g,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
e,k,s,n,f,a,c,b,y,e,?,s,s,o,o,p,n,o,p,b,c,l
p,k,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
e,k,f,w,f,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,n,g
e,k,s,n,f,a,c,b,o,e,?,s,s,o,o,p,n,o,p,n,c,l
e,x,f,g,f,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
e,x,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,v,l
e,x,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,v,l
p,k,y,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
e,k,f,w,f,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,n,g
e,x,f,g,f,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,s,g
e,f,s,n,f,a,c,b,o,e,?,s,s,o,o,p,o,o,p,n,v,l
p,k,y,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
e,b,s,n,f,a,c,b,o,e,?,s,s,o,o,p,n,o,p,o,v,l
p,k,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,x,y,n,f,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
p,k,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l
p,k,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,f,y,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
p,k,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
e,f,s,n,f,a,c,b,y,e,?,s,s,o,o,p,n,o,p,n,c,l
p,f,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
p,x,y,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
p,x,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
e,b,f,g,f,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,s,g
p,k,y,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
e,k,f,g,f,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,n,g
e,f,s,n,f,a,c,b,n,e,?,s,s,o,o,p,n,o,p,n,v,l
p,k,s,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
e,x,f,g,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
p,x,y,c,f,a,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
p,k,y,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,k,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
e,b,s,w,f,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,s,g
p,k,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,f,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,k,y,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,k,y,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
e,b,f,w,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,n,g
p,k,y,n,f,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
p,f,y,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
p,x,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
p,k,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
e,k,f,w,f,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,n,g
p,x,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,x,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
e,k,s,w,f,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g
p,f,y,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
e,f,s,n,f,a,c,b,n,e,?,s,s,o,o,p,n,o,p,y,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,k,y,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
e,b,s,n,f,a,c,b,o,e,?,s,s,o,o,p,o,o,p,b,v,l
e,k,s,g,f,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g
e,x,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,n,v,l
e,x,f,g,f,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g
p,k,s,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
p,f,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
e,b,s,w,f,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,n,g
p,f,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
p,x,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
p,f,y,c,f,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
p,f,s,n,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
p,f,s,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p
e,k,s,g,f,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,s,g
p,x,s,e,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,k,y,e,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
p,x,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
e,b,s,g,f,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g
p,f,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
e,b,s,g,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,s,g
p,x,s,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,f,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
e,b,f,g,f,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,s,g
p,f,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
e,b,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,c,l
p,k,y,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l
p,f,y,n,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
e,x,s,n,f,a,c,b,n,e,?,s,s,o,o,p,n,o,p,b,c,l
p,k,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,k,s,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
e,f,y,c,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p
e,f,s,n,f,a,c,b,n,e,?,s,s,o,o,p,n,o,p,n,c,l
e,b,s,w,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
e,b,s,g,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,n,g
p,k,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
e,x,s,n,f,a,c,b,o,e,?,s,s,o,o,p,o,o,p,y,c,l
p,x,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,x,s,n,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,f,s,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,y,e,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
p,x,y,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d
e,k,y,n,f,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d
p,f,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,k,s,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
p,f,y,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
p,f,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
e,k,f,g,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,n,g
p,k,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d
e,b,f,w,f,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,s,g
p,k,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
e,x,s,g,f,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g
e,k,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,c,l
e,k,f,g,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
p,x,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
e,x,f,w,f,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,n,g
p,k,y,e,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
p,k,s,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,k,s,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,k,y,e,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
p,k,y,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p
e,k,s,g,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g
e,x,s,g,f,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g
e,f,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,v,l
e,k,s,g,f,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,n,g
p,k,s,n,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
p,k,y,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
e,f,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,y,v,l
e,k,s,w,f,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,n,g
e,b,s,g,f,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,s,g
p,f,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
e,b,s,n,f,a,c,b,o,e,?,s,s,o,o,p,n,o,p,b,c,l
e,b,s,g,f,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,n,g
e,b,s,g,f,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g
p,k,s,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,k,y,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
e,f,s,n,f,a,c,b,n,e,?,s,s,o,o,p,n,o,p,o,c,l
p,k,s,e,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
p,k,s,n,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
e,b,s,n,f,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,v,l
e,k,f,g,f,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,s,g
e,b,s,n,f,a,c,b,o,e,?,s,s,o,o,p,o,o,p,o,c,l
p,k,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
p,k,y,e,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
p,k,y,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
p,k,s,n,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
e,f,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,n,c,l
p,k,s,e,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d
e,x,s,n,f,a,c,b,o,e,?,s,s,o,o,p,o,o,p,o,v,l
p,k,s,n,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
e,k,s,w,f,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,s,g
p,k,y,e,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d
e,k,f,g,f,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g
p,f,s,n,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
e,x,s,g,f,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,n,g
e,x,f,w,f,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g
p,k,y,n,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
p,f,y,n,f,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
p,x,y,e,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
p,k,s,e,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l
e,k,f,g,f,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g
p,k,y,e,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
e,k,s,g,f,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,n,g
p,k,s,n,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d
p,k,y,n,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l
e,k,s,w,f,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,s,g
p,k,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
e,b,s,w,f,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,s,g
p,k,s,n,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d
e,x,s,w,f,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g
e,b,s,n,f,a,c,b,n,e,?,s,s,o,o,p,o,o,p,n,v,l
p,k,s,n,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d
p,k,y,e,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
